rank,seat,sector,name,title,company,location,flag,profileUrl
168,ops,wine/spirits,"Thomas Anderer, DipWSET",General Manager,Gary's Wine & Marketplace,"Parsippany, New Jersey, United States",,https://www.linkedin.com/in/thomas-anderer
169,ops,other (bio match),Alan Velasco,General Manager,AG Global Trade,Mexico City,,https://www.linkedin.com/in/alan-garc%C3%ADa-velasco-b7552419
170,ops,other (bio match),Martha Perez-Sandi,VP & COO,Capgemini,"Tlalpan, Mexico City, Mexico",,https://www.linkedin.com/in/martha-gonzalez-perez-sandi
171,ops,other (bio match),Justin Perino,Chief Operating Officer,Castoro Cellars,"Paso Robles, California, United States",,https://www.linkedin.com/in/justin-perino-8b04472
172,ops,other (bio match),Johnny Araiza,Vice President of Cross Border & Mexico Operations,Dunavant,"Laredo, Texas, United States",,https://www.linkedin.com/in/johnny-araiza-0b68557b
173,ops,other (bio match),Mark Groves,Vice President / Chief Sales Officer,Port TMS,"Overland Park, Kansas, United States",,https://www.linkedin.com/in/mark-groves-9b84361b0
174,ops,other (bio match),Silvia Guerra,General Manager,Rosé Atelier,"Álvaro Obregón, Mexico City, Mexico",,https://www.linkedin.com/in/ACoAAAAuw-8BVhCHlP_l2Wk9Lk1SnYNRVF5aky8
175,ops,other (bio match),"Alex Ireta, CFP®",Chief Operating Officer,SWBC,"Schertz, Texas, United States",,https://www.linkedin.com/in/alex-ireta-cfp®-ab988181
176,ops,other (bio match),Ashish Mehta,Director Of Operations,TechVidaLabs,United States,,https://www.linkedin.com/in/ashish-mehta-b8b953179
177,ops,other (bio match),Gerardo Buenfil,Chief Operating Officer,The Coffee,"Mexico City, Mexico",,https://www.linkedin.com/in/gerardo-buenfil
178,ops,other (bio match),"Marco Poisler, DBA",Chief Operating Officer - Global Energy & Capital Projects,"UTC Overseas, Inc.","Houston, Texas, United States",,https://www.linkedin.com/in/marco-poisler-dba-3624024
179,owner,produce/fresh,Michael Krychowecky,Founder/Board Member,Chinola Fresh Fruit Liqueurs,"West Palm Beach, Florida, United States","trade body, buys no FX",https://www.linkedin.com/in/michael-krychowecky-b126a010
180,owner,produce/fresh,Manuel Michel,Managing Director,Colombia Avocado Board,"Orlando, Florida, United States","trade body, buys no FX",https://www.linkedin.com/in/manuel-michel-3b62101b
181,owner,produce/fresh,Steven Callaham,Chief Executive Officer,Dundee Citrus Growers Association,"Dundee, Florida, United States","trade body, buys no FX",https://www.linkedin.com/in/steven-b-callaham-ba613558
182,owner,produce/fresh,Willian Valiante,"Partner - Latam Consulting for Consumer, Retail, Agri, Health & Life Science",EY,"São Paulo, SP",consulting,https://www.linkedin.com/in/willian-valiante-69a477
183,owner,produce/fresh,Cathy Burns,Chief Executive Officer,International Fresh Produce Association,"Washington, District of Columbia, United States","trade body, buys no FX",https://www.linkedin.com/in/cathy-burns-57690391
184,owner,logistics/freight,Megan Coddington,People Operations Partner ,DAT Freight & Analytics,"Denver, Colorado, United States","too big, has a desk",https://www.linkedin.com/in/megancoddington
185,finance,logistics/freight,Ian CGMA,Finance Director,DSV - Global Transport and Logistics,"Maplewood, New Jersey, United States","too big, has a desk",https://www.linkedin.com/in/ACoAAAWR8rQBX2_jH-yJfQxfm5Pqh7o7ES2-AXg
186,finance,logistics/freight,Eloy Aguilar,Chief Financial Officer,DSV - Global Transport and Logistics,"Benito Juárez, Mexico City, Mexico","too big, has a desk",https://www.linkedin.com/in/eloyaguilarcfo
187,finance,logistics/freight,Eric SCHMIDT,Chief Financial Officer,Daimler Truck México,"México, Mexico","too big, has a desk",https://www.linkedin.com/in/ericbschmidt
188,finance,logistics/freight,Victor Miranda,CFO,MEDLOG Transport & Logistics,"Naucalpan de Juárez, MEX","too big, has a desk",https://www.linkedin.com/in/victor-h-miranda-467a2219
189,owner,logistics/freight,Rafael Magalhães,CEO / Managing Director & Board Member,Volkswagen Truck and Bus México,"Querétaro, Mexico","too big, has a desk",https://www.linkedin.com/in/rafael-santos-magalhães-7b8a948
190,owner,wine/spirits,Jessica West,Owner/ Winemaker,Approachment Wine Company/ AudioVine Wine Consulting,"McMinnville, Oregon, United States",consulting,https://www.linkedin.com/in/jessica-west-93285331
191,ops,produce/fresh,Luz Alberto Martinez,General Manager,Mastronardi Produce,"Laredo, Texas, United States","too big, has a desk",https://www.linkedin.com/in/luz-alberto-martinez-63b777139
192,ops,logistics/freight,Edgardo Rivera,"General Manager - Chiquita Logistic Services/ Great White Fleet, Latin America",Chiquita / Great White Fleet,Costa Rica,"too big, has a desk",https://www.linkedin.com/in/edgardo-gonzalez-rivera-0b636a51
193,ops,logistics/freight,Allan Berg,"Vice President, Group Financial Reporting, Controlling & Compliance",DSV - Global Transport and Logistics,"Capital Region of Denmark, Denmark","too big, has a desk",https://www.linkedin.com/in/ACoAAAAjJZ4B_ONXmA19cevW1DZx8gHDG_gmd9k
194,ops,logistics/freight,Francesco Narducci,ZIM USA Chief Finance Officer & Senior Vice President,ZIM Integrated Shipping Services,"Virginia Beach, Virginia, United States","too big, has a desk",https://www.linkedin.com/in/francesco-narducci
195,ops,import/manufacturing,Gerardo Schega,General Manager Export,Grupo Kaltex,"Miguel Hidalgo, Mexico City, Mexico","too big, has a desk",https://www.linkedin.com/in/gerardo-schega-44a1b218
196,ops,wine/spirits,Harinder Dhaliwal,General Manager To Kalon and Napa Vineyard Operations & Development Strategies,Constellation Brands,"Napa, California, United States","too big, has a desk",https://www.linkedin.com/in/harinder-dhaliwal-67897113
197,ops,other (bio match),José Ramón Rojas,Director Of Operations and Engineering,Rich Products Corporation,"Cuajimalpa de Morelos, Mexico City, Mexico","too big, has a desk",https://www.linkedin.com/in/joseramonrojasrojo
198,ops,other (bio match),Chris Rhame,Vice President of Sales,SELECCIÓN Consulting,Greater Houston,consulting,https://www.linkedin.com/in/chrisrhame
199,ops,other (bio match),Christian Harris,Chief Operating Officer,Sunkist Growers,"Los Angeles County, California, United States","too big, has a desk",https://www.linkedin.com/in/christian-harris-79037a13
